index,title,score,gram,cost,category
264,いか燻製,評価なし,75g,298,1
265,いかなんこつ,評価なし,58g,298,2
266,厚切りカット ポテトチップス 国産じゃがいも使用 …,4.6,65g,78,3
267,厚切りカット ポテトチップス 国産じゃがいも使用 …,4.5,65g,78,4
268,厚切りカット ポテトチップス 国産じゃがいも使用 …,4.8,160g,178,5
269,ピーナッツ入り 柿の種 わさび味,4,182g(6袋),148,6
270,厚切りカット ポテトチップス 国産じゃがいも使用 …,4.5,160g,178,7
271,ディズニー チョコプレート,評価なし,22g,198,8
272,焙煎ピーナッツ使用 ピーナッツ入りせんべい,4.2,12枚(2枚×6袋),184,1
273,はちみつ入り 芋けんぴ 九州産 黄金千貫使用,4.8,130g,158,2
274,オリゴ糖入り芋けんぴ 九州産 黄金千貫使用,4.7,270g,298,3
275,フランスロレーヌ産岩塩使用 塩キャラメル,3.4,280g(個包装紙込み),275,4
276,ラ・フランスゼリー 国産ラ・フランス使用,評価なし,400g,398,5
277,りんごゼリー 国産りんご使用,3,400g,398,6
278,黄桃ゼリー 国産黄桃使用,4,400g,398,7
279,コクのある甘さ 沖縄県産黒糖使用 黒糖飴,4.3,100g(個包装紙込み),90,8
280,ピーナッツ入り 柿の種,4.5,200g(6袋),148,1
281,ピーナッツ入り 柿の種,4.8,240g,158,2
282,国産かりん果汁使用 ノンシュガーかりんのど飴,評価なし,76g(個包装紙込み),128,3
283,おいしさいろいろ10種類のフルーツ味 フルーツアソ…,5,170g(個包装紙込み),128,4
284,生地に岩手県産南部小麦を使用 南部せんべい,4,なし,238,5
285,はちみつ入り 黒糖かりんとう 個包装パック,4,150g(30g×5袋),178,6
286,細く仕上げた 5種ミックスかりんとう,4.5,130g,135,7
287,カルシウムボーロ 小粒タイプ,4,70g,128,8
288,野菜ボーロ 小粒タイプ,評価なし,70g,128,1
289,Free From 塩だけで味付けしたポテトチップス,4.2,60g,78,2
290,はっか飴,4.9,100g(個包装紙込み),90,3
291,いいわけおやつ 甘酸っぱい種抜き干し梅,4,20g,128,4
292,やわらかな食感 ミルクキャラメル,2.9,300g(個包装紙込み),275,5
293,いいわけおやつ ぱりぱりごまわかめ,5,13g,98,6
294,BLACK CHOCOLATE ブラックチョコレート,4.6,52g,68,7
295,CHOCOLATE チョコレート,4.9,56g,68,8
296,CHOCOLATE チョコレート,評価なし,56g×12枚,798,1
297,BLACK CHOCOLATE ブラックチョコレート,4,52g×12枚,798,2
298,10種類の味が楽しめる 半生ミックス,評価なし,なし,238,3
299,Free From ココアビスケット,4.3,80g,90,4
300,Free From バタークッキー,4.1,65g,90,5
301,すっきりとした甘み 氷砂糖,5,115g,90,6
302,オーストラリア産ブラックアンガス種の牛もも肉使用…,5,120g,898,7
303,長崎県産の塩使用 しお飴,4.6,100g(個包装紙込み),90,8
304,ノンシュガー ミントのど飴,5,76g(個包装紙込み),128,1
305,カットフルーツ,4.7,240g,298,2
306,Maple Syrup 100% カナダ ケベック州産,2.5,250g,598,3
307,ORGANIC MAPLE SYRUP オーガニックメープルシロップ…,4.8,250g,698,4
308,オレイン酸を多く含んだピーナッツ Peanuts with Ol…,4.7,140g,198,5
309,カットフルーツ スイカブロック,4.4,250g,298,6
310,カットフルーツ スイカブロック,5,400g,398,7
311,アメリカ産ピーナッツ Peanuts from the USA,4.3,140g,198,8
312,香ばしく焼き上げたクラッカープレーン CRACKERS PL…,3.5,200g(4枚×8袋),178,1
313,Free From プチクラッカー,4.8,100g,90,2
314,HERB MINT ハーブミント味ガム〈乳酸菌(殺菌)入り〉…,4,143g,460,3
315,フルーツがごろごろ マンゴーゼリー,4.3,200g,78,4
316,フルーツがごろごろ マンゴーゼリー,評価なし,200g×12個,922,5
317,焼するめげそ,2.3,42g,298,6
318,鮭とば,4,85g,598,7
319,Free From 醤油せんべい,2.8,72g,90,8
320,Free From 胡麻せんべい,4.4,72g,90,1
321,いいわけおやつ 柚子ピール,5,22g,128,2
322,フルーツがごろごろ みかんゼリー,1.7,200g,78,3
323,フルーツがごろごろ グレープゼリー&ナタデココ,3,200g,78,4
324,チョコレート味ミニシュー,評価なし,63g,90,5
325,カスタード味ミニシュー,評価なし,63g,90,6
326,豆菓子 ミニアソート,4,200g,298,7
327,オーガニック&フェアトレード ダークチョコレート,4.1,85g,248,8
328,アーモンドチョコレート ビター カカオ70%,4,70g,198,1
329,米油使用 黒糖かりんとう,4,135g,100,2
330,北海道ばれいしょでん粉使用 えびせんミックス,評価なし,50g,100,3
331,北海道ばれいしょでん粉使用 いかせんべい,5,45g,100,4
332,北海道ばれいしょでん粉使用 満月せんべい,評価なし,45g,100,5
333,素煎りアーモンド 食塩・植物油不使用,4.6,230g,548,6
334,アーモンド,5,91g,278,7
335,生クルミ Walnuts,4.5,195g,548,8
336,クコの実,評価なし,16g,148,1
337,生クルミ,4.5,93g,278,2
338,70%カカオブラックチョコレート,4.6,40g,98,3
339,70%CACAO チョコレートタブレット インドネシア,4.5,40g(5g×8枚),178,4
340,ひとくちカカオ70% ブラックチョコレート,4.9,135g,238,5
341,Free From 満月えびせん,4.6,45g,90,6
342,Free From フィンガービスケット,4.2,130g,90,7
343,Free From チーズクラッカー,4.4,75g,90,8
344,ひとときスイーツ ふんわりまろやか チーズケーキ,5,1個,98,1
345,するめいか使用 いかなんこつ,5,58g,298,2
346,するめいか使用 甘酢いか,評価なし,52g,198,3
347,ナッツとドライフルーツ Nuts&Dried fruit,4.5,96g,278,4
348,ピスタチオ,2,73g,278,5
349,Free From 塩だけで味付けした 堅めに揚げたポテト…,4.4,55g,78,6
350,マカダミアナッツ,5,51g,278,7
351,木の実3種ミックス まろやかな塩味,4,82g,278,8
352,素煎り カシューナッツ Cashew nuts,4,174g,548,1
353,素煎りカシューナッツ 食塩・植物油不使用,5,84g,278,2
354,カシューナッツ まろやかな塩味,評価なし,84g,278,3
355,素煎り アーモンド,5,91g,278,4
356,おこめでつくった ケーキミックス粉,4.8,300g(150g×2袋),380,5
357,素煎り 3種のミックスナッツ,4.9,82g,278,6
358,ミックスナッツ ブラックペッパー Mixed Nuts Black…,4.8,48g,198,7
359,Potato Crisps ポテトクリスプ しお味,4,160g,158,8
360,Potato Crisps ポテトクリスプ サワークリーム&オニ…,4.9,160g,158,1
